City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,norman wells,CA,65.282,-126.8329,51.84,93,90,5.75,light rain
83,georgetown,MY,5.4112,100.3354,79.9,90,40,4.61,scattered clouds
84,carnarvon,AU,-24.8667,113.6333,62.67,58,75,6.91,broken clouds
85,hambantota,LK,6.1241,81.1185,82.74,74,75,14.97,broken clouds
86,santa isabel do rio negro,BR,-0.4139,-65.0192,82.71,63,100,2.35,overcast clouds
87,bethel,US,41.3712,-73.414,75.56,65,1,9.22,clear sky
88,kampene,CD,-3.6,26.6667,93.24,25,28,1.92,scattered clouds
89,yamada,JP,39.4667,141.95,64.49,91,100,4.9,overcast clouds
90,kovur,IN,14.4833,79.9833,84.04,62,100,7.49,overcast clouds
91,alofi,NU,-19.0595,-169.9187,69.69,78,94,12.66,overcast clouds
92,port hedland,AU,-20.3167,118.5667,75.25,29,70,8.05,broken clouds
93,luderitz,NA,-26.6481,15.1594,63.7,57,0,11.23,clear sky
94,madison heights,US,42.4859,-83.1052,73.15,58,1,4.61,clear sky
95,olafsvik,IS,64.8945,-23.7142,54.18,87,100,13.91,overcast clouds
96,aklavik,CA,68.2191,-135.0107,48.92,93,90,3.44,haze
97,san quintin,MX,30.4833,-115.95,69.15,88,29,8.41,scattered clouds
98,fare,PF,-16.7,-151.0167,78.33,74,1,10.78,clear sky
99,katsuura,JP,35.1333,140.3,69.91,95,100,12.39,light rain
100,ternate,ID,0.8,127.4,80.22,77,52,1.61,broken clouds
101,djibo,BF,14.1022,-1.6306,91.22,44,53,9.95,broken clouds
102,rabo de peixe,PT,37.8,-25.5833,74.71,83,20,6.91,few clouds
103,margate,GB,51.3813,1.3862,74.7,60,26,13.6,scattered clouds
104,horqueta,PY,-23.3428,-57.0597,80.29,38,1,1.57,clear sky
105,waw,SS,7.7029,27.9953,81.39,73,71,5.01,light rain
106,coquimbo,CL,-29.9533,-71.3436,55.13,76,90,5.75,overcast clouds
107,ostrovnoy,RU,68.0531,39.5131,59.67,84,100,8.3,overcast clouds
108,grand gaube,MU,-20.0064,57.6608,70.2,69,60,5.01,broken clouds
109,sinnamary,GF,5.3833,-52.95,76.35,91,100,10.58,overcast clouds
110,den helder,NL,52.9599,4.7593,76.98,82,75,18.41,broken clouds
111,lagdo,CM,9.05,13.7333,88.92,51,30,4.9,scattered clouds
112,stornoway,GB,58.2093,-6.3865,58.96,77,75,12.66,broken clouds
113,scarborough,GB,54.2797,-0.4044,68.54,86,100,1.01,overcast clouds
114,phan thiet,VN,10.9333,108.1,78.69,88,7,3.24,clear sky
115,waingapu,ID,-9.6567,120.2641,77.2,83,6,12.19,clear sky
116,abu kamal,SY,34.4506,40.9171,101.01,16,0,14.76,clear sky
117,aban,RU,56.67,96.06,58.87,71,68,4.41,broken clouds
118,springdale,US,36.1867,-94.1288,75.9,83,1,5.75,clear sky
119,henties bay,NA,-22.116,14.2845,62.13,74,23,7.54,few clouds
120,paamiut,GL,61.994,-49.6678,48.54,94,100,8.08,overcast clouds
121,puerto leguizamo,CO,-0.1934,-74.7819,74.35,92,98,1.59,overcast clouds
122,provideniya,RU,64.3833,-173.3,50.5,78,100,3.33,overcast clouds
123,castro,BR,-24.7911,-50.0119,67.03,66,72,3.94,broken clouds
124,touros,BR,-5.1989,-35.4608,85.1,57,14,18.48,few clouds
125,saint george,US,37.1041,-113.5841,83.53,53,1,3.44,clear sky
126,hay river,CA,60.8156,-115.7999,51.78,100,75,1.14,broken clouds
127,luganville,VU,-15.5333,167.1667,74.35,82,96,12.3,overcast clouds
128,cayenne,GF,4.9333,-52.3333,77.04,91,75,1.01,moderate rain
129,suoyarvi,RU,62.0833,32.35,62.04,74,53,13.35,broken clouds
130,mamallapuram,IN,12.6264,80.1722,86.05,64,100,3.62,overcast clouds
131,vanavara,RU,60.34,102.2797,55.49,96,45,5.53,scattered clouds
132,batsfjord,NO,70.6345,29.7185,53.82,73,99,14.29,overcast clouds
133,nome,US,64.5011,-165.4064,49.15,93,90,10.36,light rain
134,klaksvik,FO,62.2266,-6.589,50.92,73,99,16.08,overcast clouds
135,east london,ZA,-33.0153,27.9116,65.34,72,0,12.66,clear sky
136,bud,US,39.447,-86.1758,69.78,72,100,9.35,overcast clouds
137,adrasmon,TJ,40.6472,69.9856,65.32,19,0,13.96,clear sky
138,mudgee,AU,-32.5943,149.5871,40.62,87,27,6.91,scattered clouds
139,kruisfontein,ZA,-34.0033,24.7314,68.88,53,0,7.83,clear sky
140,lompoc,US,34.6391,-120.4579,59.63,92,90,6.91,mist
141,hofn,IS,64.2539,-15.2082,55.42,76,75,5.75,broken clouds
142,tual,ID,-5.6667,132.75,80.13,84,100,17.38,overcast clouds
143,upernavik,GL,72.7868,-56.1549,43.18,91,100,31.76,light rain
144,kysyl-syr,RU,63.8986,122.7617,54.28,78,97,3.38,overcast clouds
145,havre,FR,49.5833,0.3333,74.48,94,90,11.5,overcast clouds
146,nioro,GM,13.35,-15.75,83.55,68,100,4.59,overcast clouds
147,finote selam,ET,10.7,37.2667,65.71,91,100,3.38,moderate rain
148,vostok,RU,46.4856,135.8833,57.13,85,73,3.49,broken clouds
149,namibe,AO,-15.1961,12.1522,75.45,66,7,13.33,clear sky
150,narrabri,AU,-30.3167,149.7833,59.09,33,90,11.5,light rain
151,odienne,CI,9.51,-7.5692,76.8,76,93,9.26,overcast clouds
152,vestmannaeyjar,IS,63.4427,-20.2734,52.79,93,90,17.27,fog
153,saint-philippe,RE,-21.3585,55.7679,69.35,70,76,12.86,broken clouds
154,port elizabeth,ZA,-33.918,25.5701,71.1,72,0,13.8,clear sky
155,kodiak,US,57.79,-152.4072,44.11,81,1,6.91,clear sky
156,cidreira,BR,-30.1811,-50.2056,62.15,84,97,3.69,overcast clouds
157,progreso,MX,21.2833,-89.6667,87.12,70,12,3.98,few clouds
158,marsh harbour,BS,26.5412,-77.0636,83.26,72,100,13.82,overcast clouds
159,nouadhibou,MR,20.931,-17.0347,84.18,58,68,12.66,broken clouds
160,anadyr,RU,64.75,177.4833,46.9,93,0,4.47,clear sky
161,itirapina,BR,-22.2528,-47.8228,75.13,38,0,6.8,clear sky
162,saint-augustin,CA,51.226,-58.6502,63.28,97,100,2.46,overcast clouds
163,port blair,IN,11.6667,92.75,79.92,86,100,13.22,heavy intensity rain
164,cabo san lucas,MX,22.8909,-109.9124,85.8,65,2,1.01,clear sky
165,dunedin,NZ,-45.8742,170.5036,52.81,51,40,13.0,scattered clouds
166,chokurdakh,RU,70.6333,147.9167,41.76,77,100,6.11,overcast clouds
167,sola,VU,-13.8833,167.55,77.43,79,100,26.75,overcast clouds
168,taltal,CL,-25.4,-70.4833,60.87,63,1,6.71,clear sky
169,tucurui,BR,-3.7661,-49.6725,92.3,45,21,2.98,few clouds
170,yulara,AU,-25.2406,130.9889,64.24,27,7,8.05,clear sky
171,puerto carreno,CO,6.189,-67.4859,73.87,91,100,3.98,overcast clouds
172,orissaare,EE,58.5592,23.0826,66.9,70,45,21.18,scattered clouds
173,neiva,CO,2.9273,-75.2819,78.53,62,100,0.49,overcast clouds
174,berlevag,NO,70.8578,29.0864,48.04,78,100,13.38,overcast clouds
175,palmer,US,42.1584,-72.3287,75.02,54,75,1.99,broken clouds
176,alto araguaia,BR,-17.3147,-53.2153,90.63,17,1,2.37,clear sky
177,kalininsk,RU,51.5,44.4758,85.21,24,100,10.98,overcast clouds
178,havoysund,NO,70.9963,24.6622,47.28,78,100,10.98,overcast clouds
179,mangrol,IN,21.1167,70.1167,81.63,79,100,14.25,overcast clouds
180,pimentel,PE,-6.8367,-79.9342,66.49,80,90,3.0,overcast clouds
181,sulangan,PH,11.1373,123.7228,84.61,70,85,9.01,overcast clouds
182,moorhead,US,46.8739,-96.7676,71.98,65,20,5.99,few clouds
183,geraldton,AU,-28.7667,114.6,57.61,62,0,8.05,clear sky
184,danshui,CN,22.7984,114.4672,82.65,86,72,3.22,broken clouds
185,katobu,ID,-4.9408,122.5276,74.43,89,23,5.19,few clouds
186,beloha,MG,-25.1667,45.05,65.93,53,2,14.36,clear sky
187,kitimat,CA,54.0524,-128.6534,59.38,94,100,1.01,moderate rain
188,ponta do sol,PT,32.6667,-17.1,86.13,40,88,3.0,overcast clouds
189,tromso,NO,69.6496,18.957,59.65,71,75,14.97,broken clouds
190,ornes,NO,66.8689,13.7078,65.55,82,90,5.68,overcast clouds
191,teya,RU,60.3778,92.6267,57.25,74,87,1.79,overcast clouds
192,volot,RU,57.9278,30.7025,65.5,73,100,12.64,overcast clouds
193,zhezkazgan,KZ,47.8043,67.7144,75.88,25,1,13.73,clear sky
194,asau,RO,46.4333,26.4,89.4,39,27,2.51,scattered clouds
195,lata,PT,40.1629,-8.3327,96.04,21,1,10.74,clear sky
196,genhe,CN,50.7833,121.5167,61.45,75,100,1.07,overcast clouds
197,paso de los toros,UY,-32.8167,-56.5167,61.86,56,33,3.2,scattered clouds
198,mahebourg,MU,-20.4081,57.7,70.09,68,75,11.5,broken clouds
199,port augusta,AU,-32.5,137.7667,43.7,64,0,5.61,clear sky
200,hailar,CN,49.2,119.7,60.64,72,4,6.73,clear sky
201,shubarkuduk,KZ,49.1447,56.4872,90.63,11,8,2.82,clear sky
202,ancud,CL,-41.8697,-73.8203,43.43,86,100,11.92,overcast clouds
203,sao raimundo das mangabeiras,BR,-7.0219,-45.4811,92.17,19,6,7.81,clear sky
204,abha,SA,18.2164,42.5053,75.02,64,40,16.11,scattered clouds
205,el tigre,VE,8.8875,-64.2454,70.68,94,100,6.67,overcast clouds
206,itarema,BR,-2.9248,-39.9167,89.15,48,23,10.56,few clouds
207,darnah,LY,32.767,22.6367,80.28,60,0,22.08,clear sky
208,hobart,AU,-42.8794,147.3294,42.66,85,75,4.0,light intensity shower rain
209,finschhafen,PG,-6.6024,147.8681,78.13,83,43,8.01,scattered clouds
210,synya,RU,65.3718,58.0387,63.59,54,13,4.7,few clouds
211,conde,BR,-7.2597,-34.9075,81.86,65,75,14.97,broken clouds
212,ambilobe,MG,-13.2,49.05,78.89,59,76,2.95,broken clouds
213,santa vitoria do palmar,BR,-33.5189,-53.3681,58.87,89,100,2.28,overcast clouds
214,kharovsk,RU,59.9642,40.1912,63.7,91,100,9.62,light rain
215,carutapera,BR,-1.195,-46.02,86.31,63,10,5.75,clear sky
216,yantal,RU,56.8471,105.2542,61.14,85,100,1.57,overcast clouds
217,alnavar,IN,15.4333,74.7333,76.1,87,81,9.98,broken clouds
218,dikson,RU,73.5069,80.5464,48.56,100,100,15.66,light rain
219,nhulunbuy,AU,-12.2333,136.7667,75.81,83,0,9.22,clear sky
